"1. On a scale of 1-5, how actively are you involved in the Cardano ecosystem?",2. What role/s do you have within the Cardano community (select all that apply)?,3. How long have you been engaged with Cardano?,4. Please indicate your level of experience with Cardano:,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Development of our core infrastructure]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Research and development]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Marketing and ecosystem growth]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Innovation and grants (e.g. Catalyst)]","5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [Regulatory compliance and governance]",6. Which areas do you believe should receive the most funding in the upcoming budget? (Select up to three),"6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Development of our core infrastructure]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Research and development]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Marketing and ecosystem growth]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [Innovation and grants (e.g. Catalyst)]","7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Regulatory compliance and governance]","6. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 5 = Lowest allocation) [On-chain Governance support]",7. Are there specific technologies or platforms you believe Cardano should adopt/integrate/consider?,9. Do you think Cardano should allocate budget for global outreach and adoption in developing countries?,10. Should funds be allocated to support third-party developers and startups building on Cardano?,8. What percentage of the budget should be reserved for unforeseen opportunities or emergencies?,9. How would you prefer to participate in budget decision-making? (Select all that apply),"10. How much would you like to participate (through committees, working groups and async discussions/research) ?",11. How important is transparency in the budget process to you?,12. How familiar are you with the budget process at Intersect and the budget committee’s progress (see here for more information)?,13. What are the top three projects or initiatives you would like to see funded in the next budget cycle?,14. Are there any areas you feel are currently overfunded and could receive less emphasis?,"15. On the other hand, are there any areas you feel are currently underfunded and could receive greater emphasis?",16. What challenges do you believe are most critical for Cardano to address with its budget?,"17. Are you currently participating in a committee, working group or special interest group?",18. How frequently would you like to receive updates on budget allocation and spending?,19. What level of detail would you prefer to receive?,20. Which communication channels do you prefer for receiving updates on budget and financial activities? (Select all that apply),21. Do you have any additional comments or suggestions regarding the budget planning process or funding allocation for Cardano?,Which region do you primarily reside in?,"7. Please rank the following areas in order in which you would want the budget to be allocated (1 = Highest allocation, 6 = Lowest allocation) [Innovation and funding (i.e. Catalyst)]",Please acknowledge that you have read and agreed to our Privacy Policy?,"5. Please rank the following areas in order of importance for Cardano to focus on in 2025 and beyond (1 = Most important, 5 = Least important): [On-chain governance support]"
4,"End user, Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc), Project Catalyst Community Reviewer ",1 - 2 years,Advanced,1,2,4,3,,,1,2,4,3,,5,Interoperability ,,,Less than 5%,"Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Neutral,"Project Catalyst, On-Chain Governance ",None ,Project Catalyst ,Innovation ,I would like to but unsure of how to join or participate,Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Community forums",I suggest the annual budget proposals should be shared with the Cardano community for inputs/suggestions before going to the ICC and DReps for voting.,,,"I agree, I disagree (and do not want to be contacted)",5
3,Developer,Over 5 years,Beginner,5,4,3,2,,,5,4,3,2,,1,,,,5% - 10%,Participating in focus groups or workshops,1-9 hours per month,3,Neutral,分からない,分からない,分からない,分からない,"No, and not interested or have enough time",Monthly,I don’t want updates,Official website updates,別にありません　jpアンバサダーYUTAが解答しろという事で意味わからず　アンケートに参加しただけです,日本,,I agree,1
5,End user,Over 5 years,Expert,3,4,5,1,,,3,4,5,1,,2,"NATIVE USDC, CIP 50",,,5% - 10%,Participating in focus groups or workshops,10+ hours per month,5,Somewhat familiar,"USDM MONETA, UDC INTEGRATION, INTERNATIONAL REGULATION COMITEE","GOVERNANCE, CATALYST","STABLES INTEGRATION, CNT INTEGRATION",TIME TO MAINTAIN ITSELF RELEVANT ENOUGH FOR PEOPLE TO SEE WHAT IT REALLY IS- A FREE TOOL FOR THE WORLD TO BUILD UPON,"Yes, one committee, working group or special interest group",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",WE CAN'T OVER SPEND IT,South America,,I agree,2
4,"Builder (part of DApp or project), End user, SPO",2 - 5 years,Advanced,5,1,4,3,,,5,1,4,3,,2,I don't know.,,,5% - 10%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,4,Neutral,"Aiken, Fluid Tokens, Cardano Native Token listings.",Don't know.,"More media, video, social media and marketing.","Scaling (speed), interoperability (partner chains), marketing (pro firm required).",I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above",Guardrails in place to avoid lack of accountability.,North America,,I agree,2
4,"End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Less than 1 year,Advanced,2,3,4,5,,,3,4,5,2,,1,Legacy identity systems to create DIDs,,,5% - 10%,"Voting on proposals (as a DRep), Serving on committees or working groups",10+ hours per month,3,Not familiar,"UBI, DIDs, gov tools, Midnight",AGI,UBI,Develop governance enough to create better government than legacy nations,"Yes, one committee, working group or special interest group",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums, Webinars or live streams, All the above","1. Create a system to elect representatives
2. Use donated ADA to treasury instead of ADA held as governance driver
3. Include UBI in the constitution to drive development and gather social support
4. Create low value grands to a wide range of contributors to drive community engagement ",South America,,I agree,1
5,"End user, Content creator / educator, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,3,2,5,4,,,3,2,5,4,,1,,,,5% - 10%,All of the above,10+ hours per month,5,Very familiar,Marketing and Education,No,Education and workshops,"Adoption and Partner Integration: Invest in strategic partnerships that can increase Cardano’s adoption in traditional markets, governments, and other industries, while also promoting integration with existing financial systems.

Education and Awareness: Allocate resources to educational initiatives that help increase understanding and adoption of Cardano technology, both among non-technical users and developers.","Yes, one committee, working group or special interest group",Monthly,Both high-level and detail,All the above,"Transparency at All Stages: Ensure that the budgeting process is fully transparent, from collecting feedback to fund execution. This will increase community trust and facilitate accountability.

Continuous Feedback: Establish continuous feedback mechanisms where the community can track the progress of funded initiatives and offer suggestions for improvement over time, allowing for agile adjustments.

Prioritization of Local and Regional Projects: Consider creating specific funding allocation programs to encourage adoption in underrepresented regions.

Incentives for Educational Initiatives: Prioritize initiatives that aim to educate new users and developers about the technology, which can accelerate Cardano's adoption.

Focus on Measurable Outcomes: Ensure that all projects and allocated funds have clear goals and performance indicators so that results can be objectively measured, providing insights for improving the future budgeting process.",South America,,I agree,1
3,"End user, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,2,1,5,3,,,5,1,3,2,,4,"Embedded Field(TRON Forum, etc.), Use of AI",,,11% - 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,4,Neutral,I'm not sure,I'm not sure,I'm not sure,I think the world would be a more convenient place if we could allocate and manage individual Cardano NFTs in every embedded device around the world.,"No, and not interested or have enough time",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Community forums",Nothing in particular,Asia,,I agree,4
3,End user,Over 5 years,Intermediate,5,4,2,3,,,5,4,2,1,,3,,,,5% - 10%,Voting on proposals (as a DRep),1-9 hours per month,5,Neutral,intersect,Catalyst,Marketing,development,"No, but would like to",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Social media platforms, Community forums",Suggestions for improved oversight and transparency in funding initiatives.,Asia,,I agree,1
3,"End user, On-chain governance (DRep, ICC, SPO)",1 - 2 years,Advanced,2,3,1,4,,,2,3,1,5,,4,"カルダノの他よりも強いセキュリティ面、安定した送金、安定した送金手数料、単一ブロックで複数送金できるという面を活かせてほしい。

・ステーブルコインをカルダノチェーンで送付できるようにしたらかなりの需要があると思う。
■理由■
よく送金スピードが速いことをアピールするコイン（solanaなど）があるが、
着金スピードが数秒で終わるものは、店舗支払いなどでは有効だとは思う。
しかし、その他の場合は1分ぐらいで終わるのであれば、その差は大して気にはならないし、
むしろ安全で確実に着金することの方が重要になるから。

トランザクションが失敗しているのにも関わらず手数料が取られるETHなどは、
そもそも使えないのでレイヤー2になるが、その際も停止トラブルがあるため少額であれば
便利だが大きな資金は不安がある。

そこで、失敗時に手数料も取られず、手数料の金額を安定していて、過去に停止したことがない
カルダノはかなりの需要があると思う。

一般社会での採用も停止するコインは正直不安なので堅実な企業は採用しづらい。
流行りにのっかる企業や、セキュリティ面の認識が甘い企業などは流行りのコインを採用すると
思われるが、長期で考えた場合は安定している方が確実に望ましいと思う。
カルダノはそこが他のコインと違い圧倒的に優位性が高いので、長期目線でアピールしてほしい。

例えば大きな資金を動かす際に、突然停止してしまうようなsolanaチェーンは使いたくない。
ETHチェーンは手数料が高すぎるのと、失敗時でも支払い発生するので使えない。
レイヤー2は手数料は安いが停止などの問題があるため若干不安がある。
そうなるとカルダノチェーンでステーブルコインを送金するのが一番安心になる。


・学生証明書以外での証明関連の採用（選挙での投票※まずは小さい地域から、資格証明、コンサートや映画などのチケット証明、家電製品などの保証書、ブランド品の本物証明※製品にQRコード、企業と顧客間の締結書などの証明書、工作機械のパーツの生産元証明書、募金関連の透明性アップ、1トランザクションで複数送金ができるのを生かした暗号資産での給料払い）
■重要だと思うこと■
アルゼンチンなど関係性のいいところでの採用や検討を開始して、とにかく多くの成功実績をつくるべきだと思います。
ただ提携しただけでなく、その後の進捗などの報告もすることで実績（★超重要★：実用前と採用後の改善できた具体的な数値の発表）や実用性をアピールすることで採用したい企業などを増やす。
現在の一般的なユースケースとして有識者はステーキングやDefi，NFTなどがありますが、
一般の人はＥＴＦやトレード、資産として保有するぐらいなので、他のコインよりも早く実社会での採用をして
シェアを奪われないようにしたい。

カルダノは開発がしっかりと行われていて、一番重要なセキュリティ面が強いのに
いまいち理解されていない部分があるため、セキュリティの強さや送金の安定性をアピールしてほしい。
ここをちゃんと認識してもらわないと採用してもらえないと思う。
",,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Somewhat familiar,1・ステーブルコインに関すること　2・hydraを利用したユースケースの開発　3・既存ウォレットの開発、セキュリティ面の更なる向上,"流動性を上げるためのファンド関連はリスクが高すぎるためリスクリワードが悪すぎるので重点を置かなくてよい。以前問題になった過剰な資金提供をも求めるとこへ資金提供し、失敗した時の補填ができなくなる。投資としてリスク管理ができていないので重点をおかないほうがいいと思う。
基本的に資金の使われ方や進捗が不明確や詳細がないものに関してはかなり怪しいので使う必要がない。",ステーブルコインに対すること。,"既存ステーブルコインusdtやusdcでカルダノチェーンを使えるようにすること。
カルダノのよさを分かっていないのにＦＵＤをする人が多すぎるためセキュリティ面や送金の安定性などをもっとアピールしていくことが重要。
その際には他を蹴落とすような感じではなく、誠実にアピールするべき。

",いいえ。時間が足りないのでこういったアンケートだと参加しやすい,Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms","・以前問題になったファンド関連は絶対に資金提供しないでほしい。
理由：失敗したら即時に運営に影響がでる。
大衆はレートを上げるために流動性アップのためにファンド関連のものに投資したいというが、信用できる人できない人に限らず成功するかが分からないので、莫大な資金を提供すること自体がリスクリワードが悪すぎる。

・資金提供の上限も決めるべき
理由：万が一変な提案が採用された場合のリスク管理にもなるから。
問題となったファンド系の提案が通った場合に、誰かが持ち逃げなどをした時点で即カルダノの資金源に問題がでてきて、取り返しのつかないことになってしまっているだろう。
起きてからじゃ遅いのでそうならないような対策が必須。

・資金の分割提供の実施
理由：カタリストの提案をみていると、進捗状況が分らないのが一番問題。
やる前に夢物語はいくらでもかける。
進捗状況をアップできないところへの資金提供の禁止。
また、進捗に合わせた分割した資金提供したほうがいい。
一括で資金提供してもらえるので詐欺っぽい提案が大量に出てくると思う。

・提案者のブラックリスト制をつくるべき
理由：例えば日本の提案はリワードが考えにくく、とても私用的な提案やカタリストの資金を狙ったような提案が多い。そういった提案が問題視されるが通ってしまうところがある。
こういったのを防ぐためにもある一定数問題視されたら提案ができなくなるようなシステムや、保有者全員に意見を求めていいかどうかを判断してもらい、提案リストにだしていいかどうかの審議も必要だと思う。
例えばレストランの開業資金で約2500万ぐらいの提案が通ってしまっている。
それも現在どうなってるかもわからないし、店舗に来たお客さんがカルダノのことを教えてほしいなどになるとは考えにくい、秘密鍵をもってきたら色々と教えると書いてあったのも犯罪に繋がる可能性が高いのに通ってしまっているという現実。
こういった問題のある提案者の排除は必須だと思う。

",日本,,I agree,5
3,End user,Over 5 years,Intermediate,2,1,5,3,,,2,1,5,3,,4,BitcoinOS,,,5% - 10%,Voting on proposals (as a DRep),1-9 hours per month,3,Neutral,チェーンの開発、価格の底上げ、寝転がってる人が飛び起きて食いつくようなDApps,"カタリストはもっと精査する必要がある。
特定のチームだけが潤うようなものに資金を渡すべきではない。
開発関係に絞る方が良いのでは？",ADAの価格が思わしくないのでSPO達がもっと利益が出るような仕組みを構築して欲しい。,最高の技術を誰にでもわかりやすく簡単にボタン一つで使えるように,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",All the above,"カタリストについては一次審査のようなものがあり、レベルの低いもの、開発に該当しないものなどのふるい落としが必要と思われる。
カタリストの資金を使って効果が出たかどうかがあまり見えず透明性がない。",日本,,I agree,4
5,"End user, Content creator / educator, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Advanced,2,3,1,4,,,2,3,1,4,,5,"Real world point of sale with stable coins and Ada. IRAs, 401ks and stocks on chain.",,,5% - 10%,"Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,4,Not familiar,"Marketing to investors and speculators, Ouroboros Peras, and Leios.",Micro projects that erode the budget and have little impact or usefulness.,Adoption and marketing. Large scale integrations with payment systems.,Penetrating markets that already have a large user base for Cardano to integrate seemlessly.,"Yes, one committee, working group or special interest group",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Social media platforms","Two things: 1. I'm curious how third parties outside the scope of Intersect will be able to apply for funding that is not considered in the Intersect budget.

2. Focus the budget on line items that have the greatest impact on Cardano adoption and try to minimize the overhead. Operate with efficiency.",North America,,I agree,5
4,"End user, On-chain governance (DRep, ICC, SPO)",1 - 2 years,Advanced,1,3,2,5,,,1,3,2,5,,4,,,,Less than 5%,"Voting on proposals (as a DRep), Providing feedback through surveys",1-9 hours per month,5,Not familiar,"Leios, ZK-stuff, L2s+Hydra ",Catalyst,Marketing,Steady growth without depleting the treasury,"No, and not interested or have enough time",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms",Nay,Europe,,I agree,4
2,"Builder (part of DApp or project), Community organizer",1 - 2 years,Advanced,5,4,1,3,,,5,4,1,3,,2,"Additional entry points for developers (e.g. alternative nodes from
The Haskel one) ",,,Less than 5%,Voting on proposals (as a DRep),1-9 hours per month,5,Somewhat familiar,"Consensus, Ledger, Alternative nodes",Maintaining headcounts and not focusing on projects,Supporting developpers with projects,Simple process for treasury withdrawal and transparency of decision making,"Yes, one committee, working group or special interest group",Quarterly,Both high-level and detail,"Email newsletters, Webinars or live streams",Please make it simple,Europe,,I agree,2
5,"Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,3,1,4,5,,,3,1,4,5,,2,AI,,,5% - 10%,All of the above,10+ hours per month,5,Somewhat familiar,"catalyst, education, IRL events",not really,Onboarding institutions,"establish milestones, KPIs, deadlines ,etc","No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates","No, I haven´t ",North America,,"I agree, I disagree (and do not want to be contacted)",2
2,End user,2 - 5 years,Intermediate,1,2,4,3,,,1,2,5,3,,4,Interoperabilidades com UniSwap e Polkadot para dar mais liberdade para negociantes e desenvolvedores de diversos ecossistemas. ( Apenas um palpite bem brando).,,,More than 15%,"Participating in focus groups or workshops, Providing feedback through surveys",Unsure/I don’t know,4,Neutral,1- Cardano on TV       2 -Caminhos para a Descentralização      3- Community Hub Cardano no Brasil,Não sei responder neste momento.,Não sei responder neste momento.,Não sei responder neste momento. Mas talvez seja a melhor alocação dos recursos nos projetos mais cruciais para a robustês do ecossistema e suas devidas porcentagens.,I would like to but unsure of how to join or participate,Monthly,"High-level summary; current progress, milestones and/or upcoming events etc",Email newsletters,Não sei responder neste momento.,South America,,I agree,5
5,"Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,4,1,3,2,,,4,1,5,2,,3,Quantum blockchain ,,,5% - 10%,"Voting on proposals (as a DRep), Serving on committees or working groups",10+ hours per month,5,Neutral,"Development, research, dApp",No,Real-world uses cases,Development and research ,"Yes, one committee, working group or special interest group",Monthly,"Granular detail; reports, audits, meeting minutes etc","Email newsletters, Webinars or live streams",Regionalize the budget,South America,,I agree,5
4,End user,Over 5 years,Expert,4,5,3,1,,,4,5,3,1,,2,Pushing interoperability and sidechains,,,5% - 10%,Voting on proposals (as a DRep),10+ hours per month,5,Somewhat familiar,"Interoperability. End user UI - people need to
Not be aware they are using blockchain",NFT and meme related things,Awareness of outputs from research institutes. I.e. Tokyo tech and edinburgh,How to best get community buy in. Is one ada one vote best? Or are there other more equal approaches,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates",Thank you for everything,Australia/Oceania,,I disagree (and do not want to be contacted),2
5,"Builder (part of DApp or project), End user, Content creator / educator, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,1,2,4,3,,,1,2,4,3,,5,"Thorswap, a huge cross chain dex ",,,5% - 10%,Providing feedback through surveys,Unsure/I don’t know,5,Somewhat familiar,"BitcoinOS
Core infra
Catalyst ",-,It seems like Cardano should try to get greater presence in India and other countries we don't have many events etc. ,-,"Yes, one committee, working group or special interest group",Quarterly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Community forums",-,North America,,I agree,5
4,"End user, Researcher, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",2 - 5 years,Intermediate,5,2,3,4,,,5,4,3,2,,1,,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys, Serving on committees or working groups",10+ hours per month,5,Not familiar,"Education, Adoption, GovTool improvement",Neutral,Neutral,"Scalability (to be improved), ",Goma Intersect Hub team lead,Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Community forums",N.A,Africa,,I agree,1
3,End user,Over 5 years,Intermediate,5,4,1,2,,,5,4,1,2,,3,Leios and zero knowledge proofs (e.g. Midnight),,,More than 15%,Providing feedback through surveys,Unsure/I don’t know,5,I have not engaged,skip,skip,skip,"Scalability (high throughput, low latency, low cost)","No, and not interested or have enough time",Bi-annually,Both high-level and detail,"Community forums, Webinars or live streams","Keep overall budget low. There's a huge opportunity cost to giving out funds from the treasury, especially while ADA is undervalued. For the next several years, focus on finding low risk ways to earn a return.",North America,,I agree,3
5,"End user, Intersect contributor (member, working group or committee etc)",2 - 5 years,Advanced,5,4,3,2,,,5,4,3,2,,1,"Layer 2 Solutions ,Interoperability Protocols, Privacy Enhancements, Decentralized Identity (DID), Stablecoin Integration, AI and Machine Learning",,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys, Serving on committees or working groups",1-9 hours per month,5,Not familiar,"Ecosystem Growth and Marketing, Decentralized Finance (DeFi) and Scalability Solutions, Governance and Innovation",no,"Liquidity and DeFi Development, Scalability Solutions, Infrastructure for Developers, Marketing and User Acquisition","Liquidity and DeFi Growth, Scalability and Performance, Marketing and User Adoption, Governance and Treasury Management","No, but would like to",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms","In planning Cardano’s budget, I see a strong need for transparency and accountability in fund allocation. Projects like Project Catalyst are positive steps, but we could do more to keep the community updated on project progress and outcomes. Regular updates, detailed reports, or public dashboards showing project statuses could build trust and foster engagement. By incorporating performance-based budgeting, we could further refine our funding criteria to emphasize outcomes and impact, motivating projects to achieve tangible results that align with Cardano's goals. Additionally, adopting dynamic funding models would allow flexibility, setting aside portions of the budget for emerging technologies or unexpected opportunities as they arise.

A few key areas deserve focused funding. Balancing innovation with practical applications could ensure we support both cutting-edge projects and real-world solutions. Expanding funding in areas like liquidity, DeFi, and interoperability can enhance Cardano's ecosystem and support user adoption. To accelerate development, resources for developer tools, documentation, and possibly developer incentives would be beneficial. Increasing investment in marketing and education could raise Cardano's visibility and encourage grassroots adoption. Continued funding for scalability solutions like Hydra is crucial, but making these technologies accessible to developers is equally important. We must also consider funding governance and legal frameworks to navigate regulatory challenges and support community and cultural initiatives to strengthen our Cardano community.",Asia,,I agree,1
5,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer, On-chain governance (DRep, ICC, SPO), Intersect contributor (member, working group or committee etc)",Over 5 years,Expert,2,1,4,3,,,2,1,5,3,,4,Bitcoin,,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",10+ hours per month,5,Somewhat familiar,"Midnight, partner chain,Ouroboros Leios",Support for specific events and specific communities,"A platform for scientific analysis and easy-to-understand visualised information is needed for the budget allocation process, the allocation of funds and the evaluation of results","Catalyst needs to be a community-driven strategy based on Cardano's philosophy and IOG's research and development infrastructure, which can be understood and extended even more openly.","Yes, several",Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms, Webinars or live streams","Budget Management Optimization

For effective budget management, the following structured approach is recommended:

Sequential Planning Process
The budget planning begins with establishing the base budget, followed by calculating growth rates and conducting factor analysis. This step-by-step approach ensures thorough evaluation of all financial aspects.

Preparation Timeline
A preparation period of approximately four months should be allocated to gather and consolidate input from all departments. This timeline allows for comprehensive stakeholder engagement and thoughtful consideration of departmental needs.

Standardized Format
Implementation of a unified format facilitates seamless interdepartmental collaboration and ensures consistency in budget reporting and analysis.

AI Implementation Opportunities

The budget management process can be enhanced through AI applications in the following areas:

Predictive Analytics
AI can significantly improve the accuracy of forecasting and future predictions, enabling more informed financial planning decisions.

Data-Driven Insights
AI systems can provide valuable insights based on data analysis, supporting better decision-making processes across all organizational levels.

Real-Time Monitoring
Implementation of AI-powered real-time monitoring systems enables immediate detection of anomalies and facilitates prompt corrective actions.

By integrating these elements, organizations can establish a more transparent and efficient budget management system that leverages both human expertise and technological capabilities.",Asia,,I agree,5
3,End user,Over 5 years,Intermediate,1,3,5,4,,,1,2,5,4,,3,BTC,,,Unsure/I don’t know,Voting on proposals (as a DRep),Unsure/I don’t know,5,Unsure/I don’t know,marketing,no,marketing,marketing,"No, and not interested or have enough time",Only when major changes occur,Both high-level and detail,Official website updates,no,Asia,,I agree,2
4,"Developer, Builder (part of DApp or project), End user, Researcher, Content creator / educator, Community organizer",2 - 5 years,Intermediate,1,5,2,4,,,3,5,2,4,,1,"node protocol marketplaces, semantic models",,,More than 15%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys",1-9 hours per month,4,I have not engaged,global basic income,i don't know the funding levels,"dapps, open source","understanding what is not funded, and the value of such things, also milestones","No, but would like to",Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc","Social media platforms, Webinars or live streams, All the above","how much is it, or still tbd",North America,,I agree,3
1,End user,2 - 5 years,Intermediate,1,3,2,4,,,1,3,2,4,,5,"I work in fraud protection in banks, and see a lot of potential to protect end users better on chain. I know a couple of initiatives, but see a potential to do more. It is hard to be an alternative to banks without better user protection. Also, password/key phrase recovery tools would be useful to many.",,,Less than 5%,"Voting on proposals (as a DRep), Participating in focus groups or workshops, Providing feedback through surveys, Serving on committees or working groups, All of the above",1-9 hours per month,3,Unsure/I don’t know,"Input endorsers, key recovery tool, structure for long term budget planning, so that projects and developers can plan for years ahead.",Not really,Marketing and adoption,"Predictability for developers and projects developing on Cardano is key for sustainable growth and engagement. So making sure long term strategies and priorities take precedence over short term priorities is important at this stage. Also, mass adoption is lagging, so figuring out how to onboard more users, preferably to real world applications, is important. ","No, but would like to",Quarterly,"High-level summary; current progress, milestones and/or upcoming events etc","Email newsletters, Official website updates, Webinars or live streams",I am very excited to see how this experiment proceeds. My fingers are crossed for this being the beginning of a sustainable and long term government structure for the Cardano,Europe,,I agree,5
4,"End user, On-chain governance (DRep, ICC, SPO)",Over 5 years,Advanced,1,2,4,5,,,1,2,3,5,,4,"Interoperability (Partnerchains, utxo alliance etc.), Scalability (Hydra, Leios etc), Stable adoption",,,5% - 10%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,I have not engaged,"Leios, BitcoinOS integration, Babal fees, Hydra head intercommunication",Catalyst in its current form,I don't know if research and execution of core features are underfunded. But we need to speed them up ,"Corruption. Taking 300M - 500M ada from treasury to delegate to pools, I cannot imagine how to make delegations fair",I would like to but unsure of how to join or participate,Monthly,Both high-level and detail,All the above,No,Asia,,I agree,3
4,"Builder (part of DApp or project), End user, Community organizer",Over 5 years,Advanced,1,4,3,2,,,1,4,3,2,,5,Cross chain tech/platforms like with bitcoin now. Also scalability tech.,,,More than 15%,"Voting on proposals (as a DRep), Providing feedback through surveys",Unsure/I don’t know,5,Somewhat familiar,Want core funding. Finish babel fees and the like. ,Not sure of current allocations.  Depending on mentioned 5 areas- catalyst could be reduced and prioritized down. ,Core evolution and adaptability. ,Going slow in first years. Not spending too much. Timing market sales with withdrawals. Transparency. ,"No, and not interested or have enough time",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms, Webinars or live streams",No,North America,,I agree,5
3,End user,2 - 5 years,Beginner,1,2,5,3,,,1,2,5,3,,4,No,,,Unsure/I don’t know,Vote,Unsure/I don’t know,5,Not familiar,Don’t know of any,No,Education. Media should be straight forward not jargon and speculation. Use twitter and YouTube. ,Read above,No wouldn’t know if I would want to,Monthly,Both high-level and detail,"Email newsletters, Official website updates, Social media platforms",No,England ,,I agree,4
4,"Builder (part of DApp or project), End user, Content creator / educator, Community organizer",2 - 5 years,Advanced,5,4,1,2,,,5,4,1,2,,3,More croschain interoperability,,,5% - 10%,All of the above,10+ hours per month,5,Neutral,"It's hard for me to say personally, that's a decision we have to put up for a vote ;)","Hard today realy about over funding,I'd say problem is in the way funds are spent not given.... ",Yes community and community funding...,Hard marketing and ways to invite new liquidity and users to chain...,"No, but would like to",Monthly,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms, Community forums, Webinars or live streams","No thanks, for now all is good and this survey was really good.",Europe,,I agree,3
4,End user,2 - 5 years,Advanced,3,4,5,2,,,3,4,5,2,,1,Integrations with more chains. ,,,11% - 15%,Voting on proposals (as a DRep),Unsure/I don’t know,5,I have not engaged,"Identity, Savings related dApps.",DEX and Marketplaces,Anything related to onboarding new people to Cardano.,Marketing.,"No, and not interested or have enough time",Only when major changes occur,"High-level summary; current progress, milestones and/or upcoming events etc","Official website updates, Social media platforms",None at the moment.,Europe,,I agree,1
